CHORD TIMELINE DEBUG - blob
0.998s - 2.554s | F#m        | [STRUCTURAL]
2.554s - 6.223s | Em7        | [STRUCTURAL]
6.223s - 6.734s | F#m        | [STRUCTURAL]
6.734s - 8.824s | Em7        | [STRUCTURAL]
8.824s - 10.403s | F#m        | [STRUCTURAL]
10.403s - 10.913s | F#m        | [STRUCTURAL]
10.913s - 14.582s | Em7        | [STRUCTURAL]
14.582s - 15.093s | F#m        | [STRUCTURAL]
15.093s - 17.206s | Em7        | [STRUCTURAL]
17.206s - 17.717s | Em7        | [STRUCTURAL]
17.717s - 18.228s | Em7        | [STRUCTURAL]
18.228s - 18.739s | F#m        | [STRUCTURAL]
18.739s - 19.273s | Bm         | [STRUCTURAL]
19.273s - 19.783s | Am         | [STRUCTURAL]
19.783s - 20.828s | F#m        | [STRUCTURAL]
20.828s - 22.918s | Em7        | [STRUCTURAL]
22.918s - 23.452s | Bm         | [STRUCTURAL]
23.452s - 27.098s | Em7        | [STRUCTURAL]
27.098s - 27.609s | F#m        | [STRUCTURAL]
27.609s - 30.232s | Em7        | [STRUCTURAL]
30.232s - 30.743s | F#m        | [STRUCTURAL]
30.743s - 31.277s | C#m        | [STRUCTURAL]
31.277s - 31.788s | F#m        | [STRUCTURAL]
31.788s - 33.878s | Em7        | [STRUCTURAL]
33.878s - 39.102s | F#m        | [STRUCTURAL]
39.102s - 39.613s | C#m        | [STRUCTURAL]
39.613s - 40.124s | Em7        | [STRUCTURAL]
40.124s - 41.680s | F#m        | [STRUCTURAL]
41.680s - 42.191s | C#m        | [STRUCTURAL]
42.191s - 43.259s | F#m        | [STRUCTURAL]
43.259s - 43.793s | C#m        | [STRUCTURAL]
43.793s - 44.304s | Esus2      | [STRUCTURAL]
44.304s - 46.904s | F#m        | [STRUCTURAL]
46.904s - 47.462s | Em7        | [STRUCTURAL]
47.462s - 47.972s | C#m        | [STRUCTURAL]
47.972s - 48.483s | Em7        | [STRUCTURAL]
48.483s - 51.107s | F#m        | [STRUCTURAL]
51.107s - 51.618s | Am         | [STRUCTURAL]
51.618s - 52.129s | Em7        | [STRUCTURAL]
52.129s - 52.663s | Bm         | [STRUCTURAL]
52.663s - 53.150s | Bm         | [STRUCTURAL]
53.150s - 53.708s | F#m        | [STRUCTURAL]
53.708s - 54.219s | Em7        | [STRUCTURAL]
54.219s - 54.753s | C#m        | [STRUCTURAL]
54.753s - 55.263s | Em7        | [STRUCTURAL]
55.263s - 55.798s | F#m        | [PASSING]
55.798s - 57.353s | G#m        | [STRUCTURAL]
57.353s - 58.932s | F#m        | [STRUCTURAL]
58.932s - 59.443s | Em7        | [STRUCTURAL]
59.443s - 61.510s | Bm         | [STRUCTURAL]
61.510s - 62.044s | F#m        | [STRUCTURAL]
62.044s - 62.555s | Em7        | [STRUCTURAL]
62.555s - 63.065s | C#m        | [STRUCTURAL]
63.065s - 64.134s | F#m        | [STRUCTURAL]
64.134s - 66.223s | G#m        | [STRUCTURAL]
66.223s - 66.734s | Bm         | [STRUCTURAL]
66.734s - 67.268s | F#m        | [STRUCTURAL]
67.268s - 67.802s | Em7        | [STRUCTURAL]
67.802s - 68.313s | Bm         | [STRUCTURAL]
68.313s - 68.824s | Em7        | [STRUCTURAL]
68.824s - 69.358s | Bm         | [STRUCTURAL]
69.358s - 70.891s | Em7        | [STRUCTURAL]
70.891s - 71.425s | C#m        | [STRUCTURAL]
71.425s - 71.935s | Em7        | [STRUCTURAL]
71.935s - 73.004s | F#m        | [STRUCTURAL]
73.004s - 73.538s | G#m        | [STRUCTURAL]
73.538s - 75.627s | F#m        | [STRUCTURAL]
75.627s - 76.138s | Em7        | [STRUCTURAL]
76.138s - 76.649s | F#m        | [STRUCTURAL]
76.649s - 78.205s | Bm         | [STRUCTURAL]
78.205s - 79.250s | Em7        | [STRUCTURAL]
79.250s - 81.897s | F#m        | [STRUCTURAL]
81.897s - 82.942s | Em7        | [STRUCTURAL]
82.942s - 83.963s | F#m        | [STRUCTURAL]
83.963s - 85.519s | Em7        | [STRUCTURAL]
85.519s - 86.053s | Am         | [STRUCTURAL]
86.053s - 86.587s | A7         | [STRUCTURAL]
86.587s - 87.098s | Em7        | [STRUCTURAL]
87.098s - 88.120s | F#m        | [STRUCTURAL]
88.120s - 89.165s | Em7        | [STRUCTURAL]
89.165s - 89.699s | C#m        | [STRUCTURAL]
89.699s - 90.210s | Em7        | [STRUCTURAL]
90.210s - 92.299s | F#m        | [STRUCTURAL]
92.299s - 95.945s | C#m        | [STRUCTURAL]
95.945s - 96.502s | F#m        | [STRUCTURAL]
96.502s - 97.013s | Em7        | [STRUCTURAL]
97.013s - 97.547s | F#m        | [STRUCTURAL]
97.547s - 98.058s | C#m        | [STRUCTURAL]
98.058s - 98.569s | Em7        | [STRUCTURAL]
98.569s - 100.635s | F#m        | [STRUCTURAL]
100.635s - 101.169s | Em7        | [STRUCTURAL]
101.169s - 101.703s | F#m        | [STRUCTURAL]
101.703s - 102.214s | C#m        | [STRUCTURAL]
102.214s - 102.748s | Em7        | [STRUCTURAL]
102.748s - 103.259s | Em7        | [STRUCTURAL]
103.259s - 103.770s | C#m        | [STRUCTURAL]
103.770s - 104.281s | F#m        | [STRUCTURAL]
104.281s - 104.815s | C#m        | [STRUCTURAL]
104.815s - 105.349s | F#m        | [STRUCTURAL]
105.349s - 105.883s | F#m        | [STRUCTURAL]
105.883s - 106.417s | C#m        | [STRUCTURAL]
106.417s - 106.928s | F#m        | [STRUCTURAL]
106.928s - 107.439s | Em7        | [STRUCTURAL]
107.439s - 109.529s | F#m        | [STRUCTURAL]
109.529s - 110.039s | Em7        | [STRUCTURAL]
110.039s - 111.084s | F#m        | [STRUCTURAL]
111.084s - 111.595s | C#m        | [STRUCTURAL]
111.595s - 113.174s | Em7        | [STRUCTURAL]
113.174s - 113.708s | C#m        | [STRUCTURAL]
113.708s - 114.219s | F#m        | [STRUCTURAL]
114.219s - 116.820s | C#7        | [STRUCTURAL]
116.820s - 117.354s | Bm         | [STRUCTURAL]
117.354s - 119.443s | C#m        | [STRUCTURAL]
119.443s - 119.954s | F#m        | [STRUCTURAL]
119.954s - 120.976s | Bm         | [STRUCTURAL]
120.976s - 122.067s | F#m        | [STRUCTURAL]
122.067s - 122.578s | Em7        | [STRUCTURAL]
122.578s - 123.089s | F#m        | [STRUCTURAL]
123.089s - 124.111s | Em7        | [STRUCTURAL]
124.111s - 124.668s | C#m        | [STRUCTURAL]
124.668s - 125.179s | F#m        | [STRUCTURAL]
125.179s - 125.690s | Em7        | [STRUCTURAL]
125.690s - 126.224s | Am         | [STRUCTURAL]
126.224s - 126.735s | F#m        | [STRUCTURAL]
126.735s - 127.245s | Bm         | [STRUCTURAL]
127.245s - 128.290s | G#m        | [STRUCTURAL]
128.290s - 128.824s | A#m7       | [PASSING]
128.824s - 129.358s | Bm         | [STRUCTURAL]
129.358s - 129.869s | F#m        | [STRUCTURAL]
129.869s - 131.959s | Em7        | [STRUCTURAL]
131.959s - 134.026s | F#m        | [STRUCTURAL]
134.026s - 134.560s | Em7        | [STRUCTURAL]
134.560s - 135.605s | F#m        | [STRUCTURAL]
135.605s - 136.139s | Fm7        | [STRUCTURAL]
136.139s - 136.649s | F#m        | [PASSING]
