0.998s - 2.043s | Ebm        | [STRUCTURAL]
2.043s - 2.554s | Bbm        | [STRUCTURAL]
2.554s - 6.223s | B          | [STRUCTURAL]
6.223s - 6.734s | F##        | [STRUCTURAL]
6.734s - 10.403s | B          | [STRUCTURAL]
10.403s - 10.913s | F##        | [STRUCTURAL]
10.913s - 13.003s | B          | [STRUCTURAL]
13.003s - 14.582s | E          | [STRUCTURAL]
14.582s - 15.093s | F#m        | [STRUCTURAL]
15.093s - 17.206s | B          | [STRUCTURAL]
17.206s - 18.228s | E          | [STRUCTURAL]
18.228s - 18.739s | F#m7       | [STRUCTURAL]
18.739s - 19.273s | Bbm        | [STRUCTURAL]
19.273s - 19.783s | Abmaj7     | [STRUCTURAL]
19.783s - 20.317s | E          | [STRUCTURAL]
20.317s - 20.828s | F#m        | [STRUCTURAL]
20.828s - 22.918s | E          | [STRUCTURAL]
22.918s - 23.963s | B          | [STRUCTURAL]
23.963s - 27.098s | E          | [STRUCTURAL]
27.098s - 27.609s | F##        | [STRUCTURAL]
27.609s - 30.743s | E          | [STRUCTURAL]
30.743s - 31.277s | C#m        | [STRUCTURAL]
31.277s - 31.811s | F#m        | [STRUCTURAL]
31.811s - 34.389s | E          | [STRUCTURAL]
34.389s - 37.523s | B          | [STRUCTURAL]
37.523s - 39.102s | E          | [STRUCTURAL]
39.102s - 39.613s | C#         | [STRUCTURAL]
39.613s - 40.124s | Ebm        | [STRUCTURAL]
40.124s - 41.680s | B          | [STRUCTURAL]
41.680s - 42.191s | C#m        | [STRUCTURAL]
42.191s - 43.259s | Ebm        | [STRUCTURAL]
43.259s - 43.793s | C#         | [STRUCTURAL]
43.793s - 44.304s | Ebm        | [STRUCTURAL]
44.304s - 44.815s | B          | [STRUCTURAL]
44.815s - 47.462s | E          | [STRUCTURAL]
47.462s - 47.972s | C#m        | [STRUCTURAL]
47.972s - 48.483s | F##        | [STRUCTURAL]
48.483s - 50.039s | B          | [STRUCTURAL]
50.039s - 51.107s | E          | [STRUCTURAL]
51.107s - 51.618s | Am         | [STRUCTURAL]
51.618s - 52.663s | E          | [STRUCTURAL]
52.663s - 53.150s | A          | [STRUCTURAL]
53.150s - 54.219s | E          | [STRUCTURAL]
54.219s - 54.753s | C#m        | [STRUCTURAL]
54.753s - 55.263s | E          | [STRUCTURAL]
55.263s - 55.798s | F##        | [STRUCTURAL]
55.798s - 57.353s | C#m        | [STRUCTURAL]
57.353s - 57.887s | E          | [STRUCTURAL]
